Participant,Start,End,Code,Quote,,,,,,,,,,
P02,"48:31,100","49:01,660",Making building software easier can be a tough sell,"is like building things that make building software easier is what I like to do. But also, there's a lot of conflict when that happens, because you're not building the thing that business wants you to build necessarily. And so figuring out how to consolidate that or make that an easier thing to sell is I think the big thing. And that might just be a communication thing. It might be a cultural thing, but it's always been hard, so.",,,,,,,,,,
P02,"52:31,140","53:03,800",Putting your name on a problem makes it your problem,"And once you start it and put your name on it, now it's your problem, it's not everybody else's problem anymore. And that can be really intimidating, I think. It can kind of scare a lot of people away from even wanting to do that work, because once you touch something, you're now the latest commit in Git. And everybody's going to ask you how that thing works. And so you really have to think, do I want to be that? So that's more of a cultural thing though.",,,,,,,,,,
P02,"04:05,660","04:26,600",Shares example of the meaning of “not being a transparent system” with an example of an error in CI/CD,"That's an issue, I think, with CI/CD not being a transparent system. it's something where you upload a thing to another computer, it runs something and then exits, and you get one error, and you don't get to attach a debugger or do any of this other stuff that you would with a local development environment, that becomes inaccessible to you.",,,,,,,,,,
P02,"31:26,940","31:56,740","Taking notes in Obsidian when talking to people about what their role is, what team they work on and what languages and systems do they work on, then using this as a way to find specific people","So I will make notes of when I talk to people, What is their role? What team do they work on? What languages and systems do they work on? And then you can use that as a way to find specific people. And maybe they don't know how to solve this specific issue, but they're more familiar with that problem space than you are. And so they can get you on to who you actually need to talk to. So that tends to be how I go about things.",,,,,,,,,,
P02,"02:05,900","02:36,100",Understanding the answers to questions requires going out and talking to the community that is actually encountering those problems,"And a lot of times there are questions that we internally do not know the answers to. And so you have to go out and talk to the community and speak with other people for actually encountering those problems, especially I think that's sort of a general role or occurrence I've seen in industry or in infrastructure rather, where you sort of have to speak to the people who are actually building the things to actually understand why it's important. 'Cause you can guess, but it doesn't tell you everything you need to know.",,,,,,,,,,
P02,"17:21,420","18:03,500",Working on coding for a couple days and having multiple people making changes to the code you’re working in at the same time,"In those cases, it would be very common for you to be working on something for a day or a couple of days and have multiple people make changes to the code that you're working in at the same time because that's just the nature of that role. And so as you're working on this thing, it would actively be mutating and changing. So potentially new features would be rolled out or a feature flag would be flipped, and suddenly it just looks different. We're like, now this happens instead. And there isn't necessarily any visibility into that. You just-- suddenly the system is different now.",,,,,,,,,,
P02,"45:05,660","45:34,220",Writing up a doc and bringing people in before a decision is made empowers people to have input on a system (theme: thriving/agency),Also kind of going back to the docs where you can kind of bring people in before you made the decision. It empowers those people to kind of have input on a system rather than trying to like come in afterwards and change what you've already done. 'Cause then that feels more political. And so those kinds of things I think are really important. It just makes software better. I think that's the big thing. It also makes it more maintainable,,,,,,,,,,
P04,"15:11,240","15:35,640","Challenge of trying to collaborate on a problem without some kind of share screen, nothing other than text makes it super difficult"," If we can't sort of share screen, that's a problem because now I'm basically taking all this and you know if we can't so if we can't communicate using anything other than text then that makes it super difficult because we're basically there's a lot there might be a huge amount of context and trying to to push that through a very low bandwidth communication if we can screen share and audio then then then that’s ideal. ",,,,,,,,,,
P04,"11:22,020","11:41,060","Feeling relieved that the problem was resolved, but still frustrated about wasting time because of a lack of information","Sort of relieved, but also, again, sort of frustrated that we have to waste our time on chasing down something that wasn't a bug, just like lack of information.",,,,,,,,,,
P04,"30:03,320","30:44,440",Highlighting importance of questioning assumptions and fully understanding the problem you have,"questioning assumptions. So kind of from the examples I've given like, do you fully understand the problem you actually have? Because right then and there, it's very easy. It happens to me quite a bit of solving a problem that's not the one that you have. And because it looks a lot like ones you've seen before. And so, because we tend to pattern match against our experience it's like, oh, this is like this other thing. And then it's not at all all like this other thing because you missed something. So being really careful about what do you see and what did you expect?",,,,,,,,,,
P04,"01:49,840","02:33,640",Troubleshooting is easy when it’s something that I just did prior to noticing the problem.,"It's easy if the problem is something that I just did. So I caused the problem just prior to noticing the problem. So basically a coding error that I immediately noticed. What makes it hard is I have some wrong assumption and I don't know which assumption is wrong. And it could be because I'm unfamiliar with the code base or... Actually, it's usually... I'm unfamiliar with the code base in some way even though it might be my code base or might be one that I've been working on for while memory fades. ",,,,,,,,,,
P04,"32:50,440","33:41,080","Underlying troubleshooting is an experimental approach, of changing one tiny thing and see if that changes things","I think what underlies a lot of this is very much sort of an experimental approach. Let me change one tiny thing and see if that changes things. It did or it didn't. It didn't. Okay, then this is not part of it. Let me change one other tiny thing because what I see a lot of is let me change a whole bunch of huge things or just a whole bunch of things all at once. Oh, it works. Well, which one made it work?  I don't know, but it works now. So who cares? Well, then the next time it breaks, what are you going to do? So for me, TDD is also an experimental approach. So very much changing small things and seeing their effect instead of trying to change a bunch of things really is something that underlies, I think, a lot of the way I think about it.",,,,,,,,,,
P06,"48:36,620","49:24,100","Benefit of collaborating, “adding to my thinking” and helping to “clarify thinking” and “pointing to holes in my thinking” and developing strategy and steps","He is like, he, I don't know if it's the right word, he added to my thinking. So I wrote like one, like my thesis or like the strategy down and each step. And it helped me to clarify my thinking and he could point to some holes in my thinking stuff. I didn't think about maybe to add some, we added some extra plausibility, clauses, some extra tests to, yeah, he was like my QA department.",,,,,,,,,,
P06,"04:28,180","04:42,520","Characterizes organizational structure as a visual picture of rings, an inner ring of team members, and an outer ring with boss and scrum master and customers on outer rings.",it came to mind the picture of some rings. The inner rings are the team members. the outer are like my boss and the scrum master and stuff. Yeah. And the customers are maybe on the outer ring.,,,,,,,,,,
P06,"16:42,440","17:27,580","Describes strategy of stating a more formal hypothesis that could be confirmed or falsified, writing down what is learned, then formulate the next hypothesis","I really tried to formulate-- I don't know if it's the right word-- a hypothesis to-- I think the problem is there. And then I tried to either confirm it or falsify it and try to write down what I learned there and then formulate the next hypothesis. So if it's not really clear cut, but I try to, I think because I try to really formulate and say it out loud or tell it to a colleague because to get the words out of my sometimes confused head to the colleague to make it more sense.",,,,,,,,,,
P06,"18:21,920","19:24,500",Describes troubleshooting as a process of trying to get clearer,"Um, yeah, for me, it's sort of having like to, yeah, I have a methodical approach, just write down the first thing. I'm not sure about it. Try to get clearer about this and try to learn, uh, some unknown stuff like a software system. I'm not too familiar with learn it piece by piece. I had yesterday, I had a production problem to troubleshoot and those are",,,,,,,,,,
P06,"14:07,880","14:43,060","Enhances troubleshooting ability by writing down, in own words, what the problem is, and draw own boxes, about what the parts are.","- Write down in my own words what I think what the problem is. Um, draw my own boxes. Basically what I think, where, what the parts are. Um, make lists. I'm I'm a big write down, draw down, uh, make lists what I want to test.",,,,,,,,,,
P06,"15:30,620","15:55,400",Observes that when it’s difficult to find the words to describe a problem its an indicator of what isn’t really understood,"I try to write it down a lot and to get the first thing where my, where I can't really find the words for it or where I have trouble describing the problem as well. Then I found a spot where which I didn't really understand. So sorry, I'm struggling a bit with the words. ",,,,,,,,,,
P06,"16:07,640","16:32,320",Recognizes the goal of this rubber duck debugging activity is to achieve clarity,I think the main focus or what I'm trying to do is achieve clarity. What I yeah is the problem. Do I understand the problem? Do I have an idea with which parts are affected.,,,,,,,,,,
P06,"28:02,880","29:13,440","Uses historical notes to remember hard facts like CLI commands, names of servers, or user accounts for stuff so the it’s easy to reference later","- To my notes, what I've written down? I maybe if I wanted to remember like a certain CLI command or stuff like this, some stuff. Yeah, I wrote write down commands that I don't want to forget or want to easily find. I have a reference page in Obsidian where stuff like the new server is called this, and this is the user or stuff. And I don't get to-- so I go more back to this kind of easily to reference or easily to get back. More like these hard facts, I go back to them. I don't really go back to the problems I'm trying to formulate.",,,,,,,,,,
P06,"09:09,420","10:37,080","Visualizes the pathway between the UI and the database broken up into various sections where there are interfaces and borders to each section, and assumptions can be checked at these boundaries","So I have the picture in my mind, something happens in the UI and I'm, I cut like the, the whole way from the UI to the database. Maybe for example, somebody typed something into a form, clicks the save button and it's the information gets stored like in some wrong way into the database. Then in my mind, I cut up the way between the UI and the database in various sections, like chunks or stuff. And what I do is when I have an idea where the interfaces are or the borders of the chunks or sections, I check my assumptions about along the way, uh, how should the data behave? What, what should the, where you, uh, the values be, is it converted the right way? So I, I have like my, I don't go with the, with a comb through, through it all, like, like find granular, but I, I checked like the borders of the individual chunks to maybe rule larger sections out which may not be causing the problem. I hope this comes up understandable. ",,,,,,,,,,
P10,"22:38,040","23:06,920",Adding diagnostic info to the test that dumped out the state information to a file to increase speed of iteration and get better introspection into what was going on,"I then had it, dumped it out to a file and wrote that file out so I could then kind of like write more direct tests against that state rather than to really kind of like understand what was up with the state rather than doing that full test. So that's something to kind of like increase the speed of my iteration as well as kind of getting better introspection into what was going on.",,,,,,,,,,
P10,"07:49,980","08:19,500",Analyzing the “crumbs” left behind as evidence giving useful information about what’s going on.,"all a dead end because it wasn't that it was something else, but that's kind of what guided it. And I guess that's really also kind of like absent any evidence. So if there's any kind of of like crumbs left. If the system is failing in a way that is giving me useful information about what's going on, those are often the crumbs that I'll pick up in order to say, OK, well, I will kind of go down that path in order to do it.",,,,,,,,,,
P10,"04:55,260","06:20,620","Attributing the nature of the error message and feeling of whether you’re actually making progress or not, as affecting this experience of ease or difficulty"," Well, right, so yeah, so it's that nature of the error message and kind of feeling like you're actually making progress through it. So if I'm troubleshooting and trying things and if it's like dead end after dead end and you're always going back to square one, to me that's very difficult because you're not gaining any additional knowledge in that experience. So it's like sure you're in the case of like you're not actually really ruling anything out. Like if you go down a dead end and then that dead end you actually learned that like, oh, this lets me exclude a set of the potential solution space of what it could be, then you did actually learn something. But if you're troubleshooting and everything you try, you don't actually gain any information that even indirectly puts you towards the path of solution. To me, that's what is a very difficult troubleshooting experience. So I guess I always want to be somehow gaining some bit of knowledge with each step that I take, whether it is like, that's called positive knowledge that is telling me a fact about it, that it might be honing me in, or negative knowledge that is kind of like exclusionary and kind of like taking away, like it's still reducing the solution space that I'm dealing with.",,,,,,,,,,
P10,"23:06,920","23:19,960","Banging on it all day and getting nowhere, so going home and going to bed, then had insight in the shower","I was really banging on it, banging on it, wasn't getting anywhere. This was kind of Friday evening, so that I went home, went to bed. Next morning, in the shower after the gym, I had kind of an insight that",,,,,,,,,,
P10,"06:36,620","07:07,820","Deliberately focusing on strategies and cites “intuition” as the first word that comes to mind, but that’s not quite right, reframes as “experience knowledge” that guides the strategy","Let's think about strategies first rather than tools.  At this point, there's a certain amount of intuition is the first word that came to mind, but I think that's not the best phrase. It's probably more something that, something more experience knowledge, experiential based of, based upon what I've seen before, like this problem smells like this sort of thing. And that kind of guides the strategy.",,,,,,,,,,
P10,"26:50,740","27:09,620","Feeling extremely frustrated because in mental model, everything should work, but it clearly wasn’t and the reason why mental model was wrong was not clear"," I was extremely frustrated because it was unclear what was going on. My mental model was that everything was, everything should work, but it clearly wasn't working and the reason why my mental model was wrong was not clear. As I said, when I was",,,,,,,,,,
P10,"27:58,820","28:47,060","Feeling extremely frustrated was basically a nagging feeling, realizing that my mental model was wrong somehow, but the reason why was elusive because I was confident that my mental model was true.  A very frustrating feeling.","in there. So it was basically that nagging feeling. I realized I felt that my mental model was the thing that was wrong somehow, but the reason it was wrong was elusive because I was fairly confident that my mental model was true. So that was just a very frustrating feeling and that's why it was difficult to like, you know, it's like, whatever, it's Friday, it's late enough, let me put it away. And then kind of that like stewing in the back of the head for 24, not 24, 18 hours was enough to then have like something else pop, a different strategy pop into my head about, oh, what if you tried this to try to gather more information to figure out what was going on.",,,,,,,,,,
P10,"40:40,580","41:17,180",Feeling stretched because trying to multiplex attention,"- It leads to feeling stretched, because I'm trying to multiplex my attention, and both obviously one, there's an existing commitment that I have of talking to whoever I'm talking to, and at the same time, I also don't want my colleagues to feel blocked, or actually be blocked because that's preventing them from making forward progress on their work. So it's a struggle and leading to feeling stretched and over committed because I'm trying to basically do two things at once.",,,,,,,,,,
P10,"46:56,700","47:18,380","Highlights the key thing of team troubleshooting is making sure everybody has the same context, so as a clue is discovered, everyone should be aware of that and be able to incorporate that same information into the mental models they’re building about what’s going on","I guess that's kind of the key thing in a team troubleshooting thing is you want to make sure that everybody has all of the same context because as somebody discovers a clue about what might be going on, you want to make sure that everybody is aware of that and can incorporate that same information into the mental models that they're building about what's going on in the system.",,,,,,,,,,
P10,"47:59,700","49:06,940","Leaving a failing test and finding it more easier to pick the task back up and get into flow, that it’s easier to drop back into the flow state by starting from a troubleshooting perspective than a fresh perspective.","So if I'm working on feature development and I'm writing tests as I go in order to build stuff, if I stop at the end of the day with like, oh, yeah, I'm at a stopping point because I just finished something, my test passed, everything's good, I'm going to leave it there and I'll come back the next morning and pick that up, that can be more difficult to get back into that flow state in terms of that productivity. But if I leave it where I have a failing test, I find that is then easier to pick back up. Like if I, it's easier to drop back into the flow state by starting from a troubleshooting perspective rather than starting from like a fresh perspective. So I'll often leave myself a failing test that kind of represents where I am rather than kind of like leaving a tidy desk, so to speak. So there's that like benefit of troubleshooting as a way of again, that's what I'm saying, like it's bridging my flow state from one day to the next to be able to like get back to it.",,,,,,,,,,
P10,"26:07,400","26:42,020",Leaving behind debugging code that enhanced fail case to describe itself more and the ability to dump out the state to a file for external inspection to make it easier for devs to troubleshoot next time,"So I left some-- I left most of the debugging code that I had put in of where I had this-- the test that I had written-- or the test that I was working on, the kind of that slower one, the same way that I enhanced the failure case to kind of describe itself more and then have the ability to dump out the state for external inspection. I left all that code in because even though it wasn't running anymore because the test was now passing, To me, that was useful stuff of if this were to ever fail in the future, that now exists and it can be used again.",,,,,,,,,,
P10,"30:54,820","31:05,340","Reaching out for help only when feeling really, truly, stuck, very stuck","- Only when I feel really, truly stuck. I have to feel very stuck in order to reach out to a team member.",,,,,,,,,,
P10,"10:01,820","11:32,820",Shares example of when would craft a tighter feedback loop to “poke” at a problem better ,"I try to craft, if possible, a tighter feedback loop for the problem in order to poke at it. So this is sometimes a debugger, but not often a debugger. So if it is like a code-based problem that I have, I will often go back to tests. So let me write a -- if there's a larger test that's failing and it's failing in a curious way, and, you know, again, I'll probably start with a debugger to see if that kind of, like, lends it to the solution. But I only spend a little bit of time there because the debugger can kind of give me a lens into what's going on, but it doesn't give me a feedback loop to actually test and verify hypotheses. And then maybe it's like, okay, well, let me write a more targeted test. Let me figure out, it's like, I realized this is where the problem is. Let me write a targeted test that is only focusing on that bit of code and see if I can get that to fail in the same way and then start to kind of attack that problem. So I would maybe generalize that as almost like ad hoc tool construction based upon the things that I have in order to very quickly poke at the failure that I'm seeing, to be able to enable me to iterate quickly towards that solution.",,,,,,,,,,
P10,"43:39,740","45:29,940","Sharing a strategy of teaching troubleshooting skills by going through a tool for observing the production system, and looking at the data for the week (CPU, memory, GC), and if there’s a spike or something, even if it’s not a problem, can we figure out why it happened?","Yeah, so used to do this on the team that I was on before. There's a new system that we had built and kind of every week as part of the on-call handoff, we looked through the different, we used the tools that we had to observe the production system just to see what they've been doing over the past week. And if there was anything, you know, this is to kind of like, you know, look at the charts for like, like CPU usage, memory usage, GC behavior, including the monitoring we had on the database in terms of query performance and some other like the tool that we had that to look at the traces. And it was to kind of go through these tools to kind of build experience using the tool because it'd be better to learn how to use this tool in practice mode, rather than learning how to use the tool at the same time you're trying to troubleshoot. then you have an idea of what the tool can do and how you can use it to solve problems. And then we also kind of dig back, looking under rocks is the metaphor. So in the act of looking to see how the system has been doing over the past week, there wasn't necessarily anything that popped out to us this past week, but if we're looking at the chart and see this funny spike of something, maybe there's a spike in requests, well, even it didn't generate a problem, well, let's see if we can figure out why. Why did that happen? And just using that to answer a made up question about the system is learning how to use the tools and troubleshoot. So it is kind of that like fire drill scenario of figuring stuff out. And that ended up being really useful for the team. And we did like sometimes find kind of like lurking gremlins in the system that weren't actually problems now, but they were beneficial things to address. ",,,,,,,,,,
P10,"22:04,300","22:15,040","Starting to poke more at the data by tweaking the test, but it didn’t seem to do much","I then started poking more at the data. I then kind of like continued to tweak that test to, again, I was like kind of poking at it.",,,,,,,,,,
P10,"12:38,420","13:06,620",Troubleshooting strategy in a deployed system relies on whatever tools I made for myself to enable me to “poke” the product system.,"The strategy still kind of remains the same, where I'm relying on my intuition to guide me, and looking for evidence in terms of to figure out where the initial path might be. Tooling then, that's where it starts to get tricky, because you rely on, I have to rely on what tools did I make for myself to enable me to poke the product system.",,,,,,,,,,
P10,"23:44,600","23:54,040","Working on a weekend, not typically but because had this insight and felt the need to test to see if that’s what it was","So then, you know, like, you know, don't normally work on the weekends, but because I had this insight, I was like, I need to test to see if that's what it was. So when I then ran that",,,,,,,,,,
P11,"40:19,060","40:57,160",Asking for help the moment you come across the issue as a cultural norm in an all-woman or co-ed team,"But I've worked on mostly co-ed or all women development teams. So on those teams, you ask the moment you come across the issue. Because that's just normal. Like, you come across the issue and you just say, Hey, _____, this is an issue. Do you know what this is?"" And she'll say either like, ""Oh, yeah, I totally know. Okay, like move out of the way, you know, I'll fix it for you."" Or ""I'll show you like what it is."" Or she'll be like, or you ask everyone, they don't know. And then it's up to you to be the hero and fix it.""",,,,,,,,,,
P11,"45:21,680","45:27,980","Characterizes motivation in male-dominated culture of why the “anti-asking for help” as an attitude of “you don’t have value, unless you [do the extreme] to prove your value.”","oh, it's like an attitude like you don't have value unless you kill yourself to prove your value.",,,,,,,,,,
P11,"45:35,060","45:56,560","Characterizes motivation in woman-dominated culture of why “ask for help early” as an attitude of “you already have value, just be good.  Do your best not to let the team down, but you’re valuable already”","or like the all female team I worked on, It was just like, you already have value. Just be good. Like you have value, just do your best and don't let the team down, but you're valuable already.",,,,,,,,,,
P11,"41:10,340","41:41,260","Considering it really stupid to come across something and not ask for help, because it could be something really esoteric that has nothing to do with your skills as a developer","But on the all female team I worked on, it was considered really stupid to come across something and not ask for help, because it could be something really esoteric that has nothing to do with your skills as a developer, but just like, Oh, yeah, you have to add two spaces here."" Or, Oh, yeah, we hacked this. So you actually just need to pass the string to make it work. Why would you spend four hours on that? Trying to fix that, right?""",,,,,,,,,,
P11,"51:08,200","51:30,200",Describes ideal as giving people the time to properly troubleshoot and document and keep the documentation up to date for the issues they come across.,"So you need to give people the time to properly troubleshoot and document, document and keep the document documentation up to date the issues they come across. You need to give people the time to do that. So properly documented.",,,,,,,,,,
P11,"52:51,280","53:05,580","Describes strategy for implementing new tools given constraints of companies, as very low learning curve and just fits in, slide it into the workflow of the developer",So it would have to be something that has a very low learning curve and just fits in just like you can just  slide it into the workflow of the developer.,,,,,,,,,,
P11,"07:15,320","07:46,860",Highlighting challenges with depending on outdated frameworks and technologies,"When you're using outdated frameworks, when you're using outdated software, the community has moved on. So you're watching videos on YouTube from eight years ago, you're reading threads from like seven years ago, it's very difficult to get help. On top of that, if you're using an outdated technology, okay, things start failing now. And there's no way to fix it because it's just deprecated.",,,,,,,,,,
P11,"43:07,480","43:33,300","Not asking for help until you are to the limits of crying, because you will be looked down upon if you do.","So I try to only ask for help when I literally don't have a choice. Like I've worked on something for three days and it's like, okay, I tried everything. Because if you ask for help before you're like crying, it's looked down upon basically, because you couldn't deal with it yourself.",,,,,,,,,,
P11,"50:20,200","50:31,720","Reasons about why the lack of helping as not people not wanting to help, but because it’s a distraction from delivering features and proving their worth",And I think that's also what contributes to the lack of helping or like people not wanting to help because it's distracting from them delivering features and proving their worth.,,,,,,,,,,
P11,"29:13,560","29:40,000",Shares a story of how knowledge of why was lost to the ethers,"So the solution to that unfortunately was just restarting it many times in different orders. So there's no rhyme or reason to that, or there might be, but it's so deep in the history, so deep in like this code base that no one has touched for 10 years that nobody knows. They're just like, turn it on, turn it off and on again. Like that's what you have to do now.",,,,,,,,,,
P11,"19:29,980","19:57,860",Shares experience of working with legacy technology you don’t know,"that we're working with so many legacy code bases and so many deprecated libraries, that you're constantly working with a library you don't know. Like you don't know what this is, you don't know it. and it's old and no one's using it anymore. And so now you're just, you're Indiana Jonesing your way through the GitHub of this thing, through messages that are like seven years old.",,,,,,,,,,
P11,"26:09,380","26:28,960",So many console errors that can’t see when new things are broken.,there are so many console errors that are just there all the time that you can't use that because there's like 25 of them that are there all the time and they're not gonna get addressed. So it's almost impossible to go through it and find the console error that actually relates to what you're working on.,,,,,,,,,,
P11,"54:30,360","55:16,780","Summarizes main takeaways and things to note,  of barriers to making improvements with troubleshooting — developers are not given time because the priority of the company is maximizing profit, and developers during these troubleshooting moments are going to be stressed out, and not installing new things, or doing anything that requires them to learn anything, because they’re in a time crunch.","So I think that the main things to note is that developers don't have time and they're not given time because the priority of the company is maximizing profit. So in trouble shooting incidents, They're oftentimes going back to basics, like using console log because they're stressed out and they're not gonna be implementing new, like they're not gonna be installing new things unless they are also doing it as a hobby and they do this in their free time, like on the weekends. They're not gonna do anything that requires them to learn anything new because they're in a time crunch. They're just trying to figure out what's wrong.",,,,,,,,,,
P14,"40:41,160","41:12,080",Asking questions to understand the shared goal with troubleshooting,"I also wanna always make sure that people communicate what they're actually trying to do and not just the steps that they've taken. 'Cause sometimes people will say like, you know, I did X and Y and Z didn't happen. And I'm like, but what were you trying to do? Why did you want Z to happen? and sort of like build up that shared goal so that we both understand exactly what they were trying to do.",,,,,,,,,,
P14,"38:54,260","39:38,100","Contrasting knowing key things to share as context, vs people thinking you’re in their head","And I'm like, you know, look, here's and I try to tell the story, you know, like here's what I expected to happen. Here's what actually happened step by step and really like lay it out. But I don't usually get that level of detail when people are asking me to collaborate on their troubleshooting problems. I mean, sometimes it's ridiculous the extent to which they just think that I'm already in their head. Somebody will say, oh, I was trying to create a new FUBAR, and it didn't work. I'm like, well, OK. What did you-- what were your inputs? How did you know it didn't work? Was there an error message?",,,,,,,,,,
P14,"40:14,480","40:22,260",Highlighting the hardest thing with collaborating is lack of context and getting people up to speed with what’s going on,"But yeah, the lack of context is the hardest thing, is just getting people up to speed with what's going on.",,,,,,,,,,
P14,"49:07,100","49:34,020",Leaving yourself clues in the logging/telemetry to see a story in the data,"When you write software, instrument it, so that when you're looking at the results of that software having run, you can see a story in the data. You can see telemetry information about requests per second and all that kind of stuff in monitoring dashboards and logs and things like that. Leave yourself clues about what the software is doing instead of just it being a black box and you don't know what's going on inside.",,,,,,,,,,
P14,"32:32,740","33:10,760",Spending more time than is reasonable troubleshooting,"I sort of almost always spend more time than is reasonable trying to figure it out myself before going to someone for help. Personally, that's what I do. But I also see that in many other engineers, is that you just, you figure that things must be working correctly and you just don't understand something, so you try to build up your own knowledge and figure out what it is that you're missing. And you scour the documentation, and you look at the code, and you run the debugger, and you do all these things. And then when you're just absolutely fed up and there must be some magic thing that I've just never heard of, you start asking around,",,,,,,,,,,
P14,"38:12,120","38:40,820",Trying to help when people not providing enough context,"So I'm more often on the other end of the collaboration, just because I'm very senior within the organization. A lot of people have less experience than me. And the most common difficulty that I run into in that position is the people who are asking for help aren't asking for help well. So they don't provide enough context. They don't give me screenshots, information about what's going on to help me build the context that they have.",,,,,,,,,,
P15,"47:51,820","48:50,460","Being in a room together, can hear more verbal cues, more visual cues, like when someone is thinking, vs they know something or not, or whether somebody is completely lost.","I mean, just being together, like co-located somewhere, would probably help those a lot too, because it's really high bandwidth conversation that you're having with people. Because even that, even conversations over something like this, aren't quite the same, because the cadence of the talking is off. You're asking me questions and I'm answering them. But we're not having a back and forth conversation. And that's harder over Zoom. And exponentially harder as more people are joining in the conversation. And it's just not the same. It's like being right there in a meeting room and talking about something. You can hear more verbal cues. You can see more visual cues, like when somebody is thinking versus they know something or not, or somebody is just completely lost.",,,,,,,,,,
